,RUT_ENMASCARADO,PERS_SEXO,EDAD,CODUA,ANNIO_INGRESO,RAMA_EDUCACIONAL,PROVINCIA_ESTAB_EDUC,BEA,GRUPO_DEPENDENCIA,ANNIO_EGRESO_E_MEDIA,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,SITUACION_EGRESO_EDUCACIONAL,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,CANT_RAMOS_PLAN_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,DESERTA
158,18953192,M,Edad 27-30,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.69,4.69,0,0,56,62.772061068702286,0,0,0,1
161,18973669,M,Edad 27-30,Ingeco,2018,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.63,545.0,559.0,523.0,591.0,522.7393162393163,495.0,557.0,547.0,Prom.Ant: Nac–alumno regular,4.0,4.76,5.23,46,45,56,80.36,0,0,0,0
165,18973684,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.83,5.04,57,53,56,94.64,3,0,0,0
170,18973878,F,Edad 27-30,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.85,589.0,589.0,612.0,530.0,498.0,529.0,571.0,575.0,Prom.Ant: Nac–alumno regular,4.0,5.99,6.02,38,37,56,66.07,2,0,0,0
174,18974049,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.23,4.58,52,46,56,82.14,3,0,0,0
179,18974380,M,Edad 27-30,Ingeco,2017,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,5.18,454.0,454.0,541.0,514.0,492.0,540.0,527.5,493.0,Prom.Ant: Nac–alumno regular,7.0,5.15,4.82,58,53,56,94.64,2,1,0,0
184,18974695,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.4,4.47,38,33,56,58.93,1,0,0,0
189,18974763,M,Edad 17-23,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.24,3.86,54,37,56,66.07,6,3,0,0
194,18975639,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.18,2.44,34,13,56,23.21,5,1,2,0
199,19041183,M,Edad 27-30,Ingeco,2018,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.4,496.0,496.0,544.0,586.0,466.0,523.0,565.0,524.0,Prom.Ant: Nac–alumno regular,2.0,4.5,4.56,49,43,56,76.79,3,0,0,0
203,19154354,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.48,513.0,513.0,494.0,568.0,541.0,512.0,531.0,519.0,Prom.Ant: Nac–alumno regular,7.0,4.33,4.33,11,8,56,14.29,0,0,0,1
208,19155100,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.45,4.68,48,42,56,75.0,6,0,0,0
213,19155360,F,Edad 17-23,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.35,4.65,17,12,56,21.43,1,1,0,1
217,19155486,F,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.33,482.0,506.0,544.0,544.0,564.0,529.039387308534,544.0,524.0,Prom.Ant: Nac–alumno regular,6.0,3.08,1.74,15,3,56,5.36,3,2,0,1
221,19155851,M,Edad 24-26,Ingeco,2021,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.1,446.0,447.0,562.0,535.0,543.0,508.0,548.5,498.0,Prom.Ant: Nac–alumno regular,6.0,5.52,5.52,13,13,56,23.21,0,0,0,0
222,19156001,F,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.6,538.0,538.0,488.0,482.0,465.0,367.0,485.0,509.0,Prom.Ant: Nac–alumno regular,5.0,6.05,5.56,38,38,56,67.86,0,0,0,0
225,19158250,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.5,5.06,51,48,56,85.71,4,0,0,0
230,19158471,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.08,4.38,55,43,56,76.79,11,0,1,0
235,19159434,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.53,4.59,60,51,56,91.07,6,1,0,0
240,19159676,F,Edad 24-26,Enfermeria,2019,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,6.3,701.0,742.0,608.0,498.0,522.7393162393163,598.0,553.0,647.0,Prom.Ant: Nac–alumno regular,3.0,5.29,5.88,34,33,56,58.93,1,0,0,0
243,19159780,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,5.43,502.0,502.0,563.0,454.0,522.7393162393163,497.0,508.5,509.0,Prom.Ant: Nac–alumno regular,4.0,4.45,3.86,48,34,56,60.71,8,1,0,0
248,19202784,F,Edad 27-30,Ingeco,2020,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.55,2.78,10,10,56,17.86,1,0,0,0
250,19260597,F,Edad 17-23,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.26,4.54,37,28,56,50.0,5,0,1,0
254,19262081,F,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.63,4.0,38,28,56,50.0,4,2,0,0
258,19308698,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,2.17,3.29,5,1,56,1.79,0,0,0,1
262,19308736,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.98,616.0,645.0,612.0,664.0,522.7393162393163,639.0,638.0,632.0,Prom.Ant: Nac–alumno regular,9.0,5.69,6.06,51,51,56,91.07,0,0,0,0
267,19342767,M,Edad 24-26,Enfermeria,2017,H1,TOCOPILLA,SIN BEA,Municipal,Egreso media 2012-2014,6.25,672.0,687.0,579.0,629.0,518.0,611.0,604.0,641.0,Prom.Ant: Nac–alumno regular,7.0,4.8,5.34,51,46,56,82.14,2,1,0,0
272,19437916,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.3,476.0,480.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,516.0,Prom.Ant: Nac–alumno regular,3.0,4.96,3.05,19,10,56,17.86,0,0,0,1
277,19452139,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.85,589.0,614.0,489.0,536.0,522.7393162393163,545.0,512.5,559.0,Prom.Ant: Nac–alumno regular,5.0,5.56,5.99,40,40,56,71.43,0,0,0,0
281,19452760,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.43,502.0,502.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,512.0,Prom.Ant: Nac–alumno regular,5.0,5.54,5.85,59,59,56,105.36,0,0,0,0
286,19453590,M,Edad 24-26,Ingeco,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.0,420.0,422.0,586.0,454.0,633.0,488.0,520.0,488.0,Prom.Ant: Nac–alumno regular,8.0,4.9,4.83,55,53,56,94.64,1,0,0,0
291,19454039,F,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,5.8,579.0,588.0,502.0,482.0,522.7393162393163,530.0,492.0,543.0,Prom.Ant: Nac–alumno regular,4.0,2.87,3.84,33,23,56,41.07,7,2,0,0
294,19454562,M,Edad 24-26,Ingeco,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.27,475.0,475.0,465.0,543.0,522.7393162393163,373.0,504.0,472.0,Prom.Ant: Nac–alumno regular,5.0,4.47,3.21,23,13,56,23.21,1,1,0,1
299,19454813,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,1.9,3.39,52,25,56,44.64,8,3,1,0
304,19499597,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,6.53,729.0,767.0,603.0,562.0,522.7393162393163,561.0,582.5,599.0808080808081,Prom.Ant: Nac–alumno regular,3.0,4.38,4.67,41,36,56,64.29,5,0,0,0
308,19499760,F,Edad 24-26,Enfermeria,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,6.1,652.0,685.0,706.0,678.0,610.0,709.0,692.0,686.0,Prom.Ant: Nac–alumno regular,8.0,5.65,5.7,34,34,56,60.71,0,0,0,0
311,19499979,F,Edad 24-26,Enfermeria,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.73,567.0,594.0,595.0,634.0,600.0,540.0,614.5,599.0808080808081,Prom.Ant: Nac–alumno regular,9.0,5.2,5.74,55,54,56,96.43,0,0,0,0
316,19500012,M,Edad 24-26,Ingeco,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.4,501.0,542.0,549.0,530.0,536.0,529.039387308534,539.5,529.0,Prom.Ant: Nac–alumno regular,9.0,4.48,3.94,25,18,56,32.14,2,1,0,1
321,19500122,M,Edad 31-34,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,4.85,383.0,383.0,383.0,469.0,391.0,529.039387308534,426.0,599.0808080808081,Prom.Ant: Nac–alumno regular,9.0,1.98,3.24,27,14,56,25.0,7,0,0,1
325,19500295,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.0,427.0,429.0,524.0,512.0,385.0,449.0,518.0,599.0808080808081,Prom.Ant: Nac–alumno regular,6.0,3.55,3.32,33,16,56,28.57,7,1,0,0
328,19500368,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.4,496.0,496.0,436.0,568.0,522.7393162393163,497.0,502.0,491.0,Prom.Año: Nac–alumno regular,9.0,4.93,4.39,56,45,56,80.36,5,2,0,0
333,19500634,F,Edad 24-26,Ingeco,2018,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.28,474.0,474.0,502.0,543.0,460.0,480.0,522.5,491.0,Prom.Ant: Nac–alumno regular,3.0,5.26,5.4,48,46,56,82.14,1,0,0,0
337,19500796,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.78,4.7,36,28,56,50.0,1,1,0,0
340,19501144,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.48,3.25,33,17,56,30.36,4,0,1,0
